Country,GDP,NG_Gas_Consumption,HDD,dependency_percent,population
Belgium,478160.7,706902.254,2532.36,77.592,11455519
Bulgaria,61558,113593.4,2152.56,38.104,7000039
Czechia,225568.7,332999.018,2998.07,40.822,10649800
Denmark,310475.6,128334.542,3026.8,38.698,5806081
Germany (until 1990 former territory of the FRG),3473350,3517861.462,2800.81,67.055,83019213
Estonia,27732.3,17695,3883.05,4.838,1324820
Ireland,356526.3,212135.924,2706.58,68.7,4904240
Greece,183250.4,208840.018,1448.99,74.109,10724599
Spain,1244375,1437682,1670.72,75.032,46937060
France,2437635,1750924.371,2246.95,47.556,67012883
Croatia,55571.4,111925.689,2076.47,56.216,4076246
Italy,1796633.8,2837253.567,1813.91,77.484,60359546
Cyprus,23009.9,0,693.06,92.792,875899
Latvia,30647.2,51326.68,3622.92,43.913,1919968
Lithuania,48859.9,86732,3391.36,75.202,2794184
Luxembourg,62704.2,31975.599,2753.6,95.044,613894
Hungary,146113.2,393984,2381.22,69.712,9772756
Malta,14042.2,14244.63,515.23,97.278,493559
Netherlands,813055,1497346.33,2514.41,64.304,17282163
Austria,397518.5,357663.033,3279.5,71.623,8858775
Poland,533599.9,754922.346,2951.82,45.237,37972812
Portugal,214374.6,245786.346,1109.07,73.86,10276617
Romania,223162.5,426689.211,2568.23,30.282,19414458
Slovenia,48396.7,34220.45,2600.72,52.116,2080908
Slovakia,94048,190089,2899.05,69.762,5450421
Finland,239852,99358,5482.97,42.112,5517919
Sweden,476869.5,43851.412,5119.61,30.044,10230185
Iceland,22166.8,0,#N/A,16.106,356991
Liechtenstein,5742,998,#N/A,#N/A,38378
Norway,361734.6,231727.38,#N/A,#N/A,5328212
Switzerland,653732.6,#N/A,#N/A,#N/A,8544527
United Kingdom,2526615.2,3126703.998,#N/A,#N/A,#N/A
Montenegro,4950.7,0,#N/A,#N/A,#N/A
North Macedonia,11262,11357,#N/A,#N/A,#N/A
Albania,13752.8,2679.55,#N/A,#N/A,#N/A
Serbia,46005.4,92725.683,#N/A,#N/A,#N/A
Turkey,679132.2,1723319,#N/A,#N/A,#N/A
Bosnia and Herzegovina,18046.4,8745,#N/A,#N/A,#N/A
Kosovo (under United Nations Security Council Resolution 1244/99),7056.2,0,#N/A,#N/A,#N/A
